ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
ENSG00000173930,Tier 1,SLCO4C1,5,101569690,101632253,-1,"solute carrier organic anion transporter family, member 4C1 [Source:HGNC Symbol;Acc:23612]",2,Y,N,Y
ENSG00000174156,Tier 1,GSTA3,6,52761437,52774483,-1,glutathione S-transferase alpha 3 [Source:HGNC Symbol;Acc:4628],0,N,N,Y
ENSG00000174175,Tier 1,SELP,1,169558087,169599431,-1,"selectin P (granule membrane protein 140kDa, antigen CD62) [Source:HGNC Symbol;Acc:10721]",5,Y,Y,N
ENSG00000174292,Tier 1,TNK1,17,7283853,7293093,1,"tyrosine kinase, non-receptor, 1 [Source:HGNC Symbol;Acc:11940]",0,Y,N,N
ENSG00000174417,Tier 1,TRHR,8,110098850,110131813,1,thyrotropin-releasing hormone receptor [Source:HGNC Symbol;Acc:12299],1,Y,Y,N
ENSG00000174607,Tier 1,UGT8,4,115519611,115599380,1,UDP glycosyltransferase 8 [Source:HGNC Symbol;Acc:12555],0,N,N,Y
ENSG00000174640,Tier 1,SLCO2A1,3,133651540,133771028,-1,"solute carrier organic anion transporter family, member 2A1 [Source:HGNC Symbol;Acc:10955]",0,Y,N,Y
ENSG00000174669,Tier 1,SLC29A2,11,66129992,66139685,-1,"solute carrier family 29 (equilibrative nucleoside transporter), member 2 [Source:HGNC Symbol;Acc:11004]",0,Y,N,Y
ENSG00000174672,Tier 1,BRSK2,11,1411129,1483919,1,BR serine/threonine kinase 2 [Source:HGNC Symbol;Acc:11405],0,Y,N,N
ENSG00000174775,Tier 1,HRAS,11,532242,537287,-1,Harvey rat sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:5173],0,Y,N,N
ENSG00000174807,Tier 1,CD248,11,66081958,66084515,-1,"CD248 molecule, endosialin [Source:HGNC Symbol;Acc:18219]",0,N,Y,N
ENSG00000174990,Tier 1,CA5A,16,87921625,87970135,-1,"carbonic anhydrase VA, mitochondrial [Source:HGNC Symbol;Acc:1377]",0,Y,N,N
ENSG00000175003,Tier 1,SLC22A1,6,160542821,160579750,1,"solute carrier family 22 (organic cation transporter), member 1 [Source:HGNC Symbol;Acc:10963]",12,Y,N,Y
ENSG00000175040,Tier 1,CHST2,3,142838173,142841800,1,carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2 [Source:HGNC Symbol;Acc:1970],0,N,N,Y
ENSG00000175206,Tier 1,NPPA,1,11905766,11908402,-1,natriuretic peptide A [Source:HGNC Symbol;Acc:7939],1,Y,Y,N
ENSG00000175264,Tier 1,CHST1,11,45670427,45687172,-1,carbohydrate (keratan sulfate Gal-6) sulfotransferase 1 [Source:HGNC Symbol;Acc:1969],0,N,N,Y
ENSG00000175305,Tier 1,CCNE2,8,95891998,95908906,-1,cyclin E2 [Source:HGNC Symbol;Acc:1590],1,Y,N,N
ENSG00000175344,Tier 1,CHRNA7,15,32322691,32464722,1,"cholinergic receptor, nicotinic, alpha 7 (neuronal) [Source:HGNC Symbol;Acc:1960]",0,Y,Y,N
ENSG00000175535,Tier 1,PNLIP,10,118305443,118327367,1,pancreatic lipase [Source:HGNC Symbol;Acc:9155],0,Y,Y,N
ENSG00000175591,Tier 1,P2RY2,11,72929343,72947397,1,"purinergic receptor P2Y, G-protein coupled, 2 [Source:HGNC Symbol;Acc:8541]",0,Y,Y,N
ENSG00000175756,Tier 1,AURKAIP1,1,1309110,1310875,-1,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:24114],1,Y,N,N
ENSG00000176014,Tier 1,TUBB6,18,12307668,12344319,1,"tubulin, beta 6 class V [Source:HGNC Symbol;Acc:20776]",0,Y,Y,N
ENSG00000176105,Tier 1,YES1,18,721588,812547,-1,v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1 [Source:HGNC Symbol;Acc:12841],0,Y,N,N
ENSG00000176136,Tier 1,MC5R,18,13824154,13826861,1,melanocortin 5 receptor [Source:HGNC Symbol;Acc:6933],0,Y,Y,N
ENSG00000176153,Tier 1,GPX2,14,65405870,65409531,-1,glutathione peroxidase 2 (gastrointestinal) [Source:HGNC Symbol;Acc:4554],0,N,N,Y
ENSG00000176387,Tier 1,HSD11B2,16,67464555,67471456,1,hydroxysteroid (11-beta) dehydrogenase 2 [Source:HGNC Symbol;Acc:5209],0,Y,N,N
ENSG00000176444,Tier 1,CLK2,1,155232659,155248282,-1,CDC-like kinase 2 [Source:HGNC Symbol;Acc:2069],4,Y,N,N
ENSG00000176463,Tier 1,SLCO3A1,15,92396925,92715665,1,"solute carrier organic anion transporter family, member 3A1 [Source:HGNC Symbol;Acc:10952]",0,N,N,Y
ENSG00000176601,Tier 1,MAP3K19,2,135722061,135805038,-1,mitogen-activated protein kinase kinase kinase 19 [Source:HGNC Symbol;Acc:26249],5,Y,N,N
ENSG00000176749,Tier 1,CDK5R1,17,30813637,30818274,1,"cyclin-dependent kinase 5, regulatory subunit 1 (p35) [Source:HGNC Symbol;Acc:1775]",0,Y,N,N
ENSG00000176884,Tier 1,GRIN1,9,140032842,140063207,1,"glutamate receptor, ionotropic, N-methyl D-aspartate 1 [Source:HGNC Symbol;Acc:4584]",0,Y,N,N
ENSG00000176890,Tier 1,TYMS,18,657604,673578,1,thymidylate synthetase [Source:HGNC Symbol;Acc:12441],0,Y,N,N
ENSG00000177084,Tier 1,POLE,12,133200348,133263951,-1,"polymerase (DNA directed), epsilon, catalytic subunit [Source:HGNC Symbol;Acc:9177]",0,Y,N,N
ENSG00000177169,Tier 1,ULK1,12,132379196,132407712,1,unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:12558],0,Y,N,N
ENSG00000177189,Tier 1,RPS6KA3,X,20168029,20285523,-1,"ribosomal protein S6 kinase, 90kDa, polypeptide 3 [Source:HGNC Symbol;Acc:10432]",0,Y,N,N
ENSG00000177455,Tier 1,CD19,16,28943260,28950667,1,CD19 molecule [Source:HGNC Symbol;Acc:1633],8,N,Y,N
ENSG00000177628,Tier 1,GBA,1,155204243,155214490,-1,"glucosidase, beta, acid [Source:HGNC Symbol;Acc:4177]",4,Y,Y,N
ENSG00000177663,Tier 1,IL17RA,22,17565844,17596583,1,interleukin 17 receptor A [Source:HGNC Symbol;Acc:5985],0,N,Y,N
ENSG00000178035,Tier 1,IMPDH2,3,49061758,49066841,-1,IMP (inosine 5'-monophosphate) dehydrogenase 2 [Source:HGNC Symbol;Acc:6053],2,Y,N,N
ENSG00000178084,Tier 1,HTR3C,3,183770835,183778459,1,"5-hydroxytryptamine (serotonin) receptor 3C, ionotropic [Source:HGNC Symbol;Acc:24003]",0,Y,N,N
ENSG00000178394,Tier 1,HTR1A,5,63256183,63258334,-1,"5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled [Source:HGNC Symbol;Acc:5286]",0,Y,Y,N
ENSG00000178467,Tier 1,P4HTM,3,49027319,49044587,1,"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:HGNC Symbol;Acc:28858]",2,Y,N,N
ENSG00000178562,Tier 1,CD28,2,204571198,204603635,1,CD28 molecule [Source:HGNC Symbol;Acc:1653],2,N,Y,N
ENSG00000178568,Tier 1,ERBB4,2,212240446,213403565,-1,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432],1,Y,Y,N
ENSG00000178607,Tier 1,ERN1,17,62116502,62208179,-1,endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:3449],0,Y,N,N
ENSG00000178623,Tier 1,GPR35,2,241544848,241570676,1,G protein-coupled receptor 35 [Source:HGNC Symbol;Acc:4492],2,Y,Y,N
ENSG00000178950,Tier 1,GAK,4,843064,926161,-1,cyclin G associated kinase [Source:HGNC Symbol;Acc:4113],4,Y,N,N
ENSG00000178999,Tier 1,AURKB,17,8108056,8113918,-1,aurora kinase B [Source:HGNC Symbol;Acc:11390],1,Y,N,N
ENSG00000179097,Tier 1,HTR1F,3,88039846,88042919,1,"5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled [Source:HGNC Symbol;Acc:5292]",0,Y,Y,N
ENSG00000179142,Tier 1,CYP11B2,8,143991975,143999259,-1,"cytochrome P450, family 11, subfamily B, polypeptide 2 [Source:HGNC Symbol;Acc:2592]",0,Y,N,Y
ENSG00000179546,Tier 1,HTR1D,1,23516993,23521222,-1,"5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled [Source:HGNC Symbol;Acc:5289]",1,Y,Y,N
ENSG00000179603,Tier 1,GRM8,7,126078652,126893348,-1,"glutamate receptor, metabotropic 8 [Source:HGNC Symbol;Acc:4600]",0,Y,N,N
ENSG00000179921,Tier 1,GPBAR1,2,219124219,219128582,1,G protein-coupled bile acid receptor 1 [Source:HGNC Symbol;Acc:19680],2,Y,N,N
ENSG00000180176,Tier 1,TH,11,2185159,2193107,-1,tyrosine hydroxylase [Source:HGNC Symbol;Acc:11782],1,Y,N,N
ENSG00000180210,Tier 1,F2,11,46740730,46761056,1,coagulation factor II (thrombin) [Source:HGNC Symbol;Acc:3535],5,Y,Y,N
ENSG00000180370,Tier 1,PAK2,3,196466728,196559518,1,p21 protein (Cdc42/Rac)-activated kinase 2 [Source:HGNC Symbol;Acc:8591],0,Y,N,N
ENSG00000180432,Tier 1,CYP8B1,3,42897497,42917633,-1,"cytochrome P450, family 8, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:2653]",1,N,N,Y
ENSG00000180616,Tier 1,SSTR2,17,71161151,71167185,1,somatostatin receptor 2 [Source:HGNC Symbol;Acc:11331],0,Y,Y,N
ENSG00000180638,Tier 1,SLC47A2,17,19581601,19622292,-1,"solute carrier family 47 (multidrug and toxin extrusion), member 2 [Source:HGNC Symbol;Acc:26439]",0,Y,N,Y
ENSG00000180720,Tier 1,CHRM4,11,46406640,46408107,-1,"cholinergic receptor, muscarinic 4 [Source:HGNC Symbol;Acc:1953]",0,Y,Y,N
ENSG00000180739,Tier 1,S1PR5,19,10623623,10628607,-1,sphingosine-1-phosphate receptor 5 [Source:HGNC Symbol;Acc:14299],0,Y,Y,N
ENSG00000180767,Tier 1,CHST13,3,126243126,126262134,1,carbohydrate (chondroitin 4) sulfotransferase 13 [Source:HGNC Symbol;Acc:21755],0,N,N,Y
ENSG00000180772,Tier 1,AGTR2,X,115301975,115306225,1,"angiotensin II receptor, type 2 [Source:HGNC Symbol;Acc:338]",0,Y,Y,N
ENSG00000180815,Tier 1,MAP3K15,X,19378174,19533379,-1,mitogen-activated protein kinase kinase kinase 15 [Source:HGNC Symbol;Acc:31689],0,Y,N,N
ENSG00000180871,Tier 1,CXCR2,2,218990012,219001976,1,chemokine (C-X-C motif) receptor 2 [Source:HGNC Symbol;Acc:6027],2,Y,Y,N
ENSG00000180914,Tier 1,OXTR,3,8792094,8811314,-1,oxytocin receptor [Source:HGNC Symbol;Acc:8529],0,Y,Y,N
ENSG00000181019,Tier 1,NQO1,16,69740899,69760854,-1,"NAD(P)H dehydrogenase, quinone 1 [Source:HGNC Symbol;Acc:2874]",3,Y,N,N
ENSG00000181072,Tier 1,CHRM2,7,136553416,136705002,1,"cholinergic receptor, muscarinic 2 [Source:HGNC Symbol;Acc:1951]",1,Y,Y,N
ENSG00000181085,Tier 1,MAPK15,8,144798429,144804628,1,mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:24667],0,Y,N,N
ENSG00000181104,Tier 1,F2R,5,76011868,76031606,1,coagulation factor II (thrombin) receptor [Source:HGNC Symbol;Acc:3537],2,Y,Y,N
ENSG00000181143,Tier 1,MUC16,19,8959520,9092018,-1,"mucin 16, cell surface associated [Source:HGNC Symbol;Acc:15582]",0,N,Y,N
ENSG00000181408,Tier 1,UTS2R,17,80332153,80333462,1,urotensin 2 receptor [Source:HGNC Symbol;Acc:4468],0,Y,Y,N
ENSG00000181856,Tier 1,SLC2A4,17,7184986,7191576,1,"solute carrier family 2 (facilitated glucose transporter), member 4 [Source:HGNC Symbol;Acc:11009]",1,N,Y,Y
ENSG00000182256,Tier 1,GABRG3,15,27216429,27778373,1,"gamma-aminobutyric acid (GABA) A receptor, gamma 3 [Source:HGNC Symbol;Acc:4088]",1,Y,Y,N
ENSG00000182333,Tier 1,LIPF,10,90424198,90438571,1,"lipase, gastric [Source:HGNC Symbol;Acc:6622]",0,Y,Y,N
ENSG00000182541,Tier 1,LIMK2,22,31608225,31676066,1,LIM domain kinase 2 [Source:HGNC Symbol;Acc:6614],0,Y,N,N
ENSG00000182578,Tier 1,CSF1R,5,149432854,149492935,-1,colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:2433],0,Y,Y,N
ENSG00000182580,Tier 1,EPHB3,3,184279572,184300197,1,EPH receptor B3 [Source:HGNC Symbol;Acc:3394],0,Y,N,N
ENSG00000182782,Tier 1,HCAR2,12,123185840,123187890,-1,hydroxycarboxylic acid receptor 2 [Source:HGNC Symbol;Acc:24827],0,Y,Y,N
ENSG00000182793,Tier 1,GSTA5,6,52696453,52710893,-1,glutathione S-transferase alpha 5 [Source:HGNC Symbol;Acc:19662],0,N,N,Y
ENSG00000182866,Tier 1,LCK,1,32716840,32751766,1,lymphocyte-specific protein tyrosine kinase [Source:HGNC Symbol;Acc:6524],0,Y,N,N
ENSG00000183044,Tier 1,ABAT,16,8768422,8878432,1,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:23],0,Y,N,N
ENSG00000183049,Tier 1,CAMK1D,10,12391481,12877545,1,calcium/calmodulin-dependent protein kinase ID [Source:HGNC Symbol;Acc:19341],0,Y,N,N
ENSG00000183134,Tier 1,PTGDR2,11,60618413,60623444,-1,prostaglandin D2 receptor 2 [Source:HGNC Symbol;Acc:4502],0,Y,Y,N
ENSG00000183196,Tier 1,CHST6,16,75510949,75529282,-1,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6 [Source:HGNC Symbol;Acc:6938],3,N,N,Y
ENSG00000183317,Tier 1,EPHA10,1,38179552,38230805,-1,EPH receptor A10 [Source:HGNC Symbol;Acc:19987],0,Y,Y,N
ENSG00000183421,Tier 1,RIPK4,21,43159529,43187266,-1,receptor-interacting serine-threonine kinase 4 [Source:HGNC Symbol;Acc:496],0,Y,N,N
ENSG00000183454,Tier 1,GRIN2A,16,9852376,10276611,-1,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:HGNC Symbol;Acc:4585]",3,Y,N,N
ENSG00000183473,Tier 1,SSTR3,22,37600278,37608362,-1,somatostatin receptor 3 [Source:HGNC Symbol;Acc:11332],1,Y,Y,N
ENSG00000183735,Tier 1,TBK1,12,64845660,64895888,1,TANK-binding kinase 1 [Source:HGNC Symbol;Acc:11584],0,Y,N,N
ENSG00000183765,Tier 1,CHEK2,22,29083731,29138410,-1,checkpoint kinase 2 [Source:HGNC Symbol;Acc:16627],7,Y,N,N
ENSG00000183813,Tier 1,CCR4,3,32993066,32997841,1,chemokine (C-C motif) receptor 4 [Source:HGNC Symbol;Acc:1605],1,Y,Y,N
ENSG00000183873,Tier 1,SCN5A,3,38589548,38691164,-1,"sodium channel, voltage-gated, type V, alpha subunit [Source:HGNC Symbol;Acc:10593]",17,Y,N,N
ENSG00000183943,Tier 1,PRKX,X,3522411,3631649,-1,"protein kinase, X-linked [Source:HGNC Symbol;Acc:9441]",0,Y,N,N
ENSG00000184156,Tier 1,KCNQ3,8,133133108,133493200,-1,"potassium voltage-gated channel, KQT-like subfamily, member 3 [Source:HGNC Symbol;Acc:6297]",0,Y,N,N
ENSG00000184160,Tier 1,ADRA2C,4,3768075,3770251,1,adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:283],0,Y,Y,N
ENSG00000184216,Tier 1,IRAK1,X,153275951,153285431,-1,interleukin-1 receptor-associated kinase 1 [Source:HGNC Symbol;Acc:6112],3,Y,N,N
ENSG00000184254,Tier 1,ALDH1A3,15,101417919,101456831,1,"aldehyde dehydrogenase 1 family, member A3 [Source:HGNC Symbol;Acc:409]",0,Y,N,Y
ENSG00000184304,Tier 1,PRKD1,14,30045687,30661104,-1,protein kinase D1 [Source:HGNC Symbol;Acc:9407],2,Y,N,N
ENSG00000184343,Tier 1,SRPK3,X,153041867,153051187,1,SRSF protein kinase 3 [Source:HGNC Symbol;Acc:11402],0,Y,N,N
ENSG00000184357,Tier 1,HIST1H1B,6,27834570,27835359,-1,"histone cluster 1, H1b [Source:HGNC Symbol;Acc:4719]",7,N,Y,N
ENSG00000184371,Tier 1,CSF1,1,110452864,110473614,1,colony stimulating factor 1 (macrophage) [Source:HGNC Symbol;Acc:2432],0,N,Y,N
ENSG00000184428,Tier 1,TOP1MT,8,144386554,144442149,-1,"topoisomerase (DNA) I, mitochondrial [Source:HGNC Symbol;Acc:29787]",0,Y,N,N
ENSG00000184544,Tier 1,DHRS7C,17,9674751,9694614,-1,dehydrogenase/reductase (SDR family) member 7C [Source:HGNC Symbol;Acc:32423],0,N,N,Y
ENSG00000184588,Tier 1,PDE4B,1,66258197,66840259,1,"phosphodiesterase 4B, cAMP-specific [Source:HGNC Symbol;Acc:8781]",0,Y,N,N
ENSG00000184674,Tier 1,GSTT1,22,24376133,24384680,-1,glutathione S-transferase theta 1 [Source:HGNC Symbol;Acc:4641],1,N,N,Y
ENSG00000184845,Tier 1,DRD1,5,174867042,174871211,-1,dopamine receptor D1 [Source:HGNC Symbol;Acc:3020],0,Y,N,N
ENSG00000184937,Tier 1,WT1,11,32409321,32457176,-1,Wilms tumor 1 [Source:HGNC Symbol;Acc:12796],0,N,Y,N
ENSG00000184984,Tier 1,CHRM5,15,34260921,34357291,1,"cholinergic receptor, muscarinic 5 [Source:HGNC Symbol;Acc:1954]",0,Y,Y,N
ENSG00000184999,Tier 1,SLC22A10,11,62905339,63137190,1,"solute carrier family 22, member 10 [Source:HGNC Symbol;Acc:18057]",0,Y,N,Y
ENSG00000185010,Tier 1,F8,X,154064063,154255215,-1,"coagulation factor VIII, procoagulant component [Source:HGNC Symbol;Acc:3546]",11,N,Y,N
ENSG00000185015,Tier 1,CA13,8,86132816,86196302,1,carbonic anhydrase XIII [Source:HGNC Symbol;Acc:14914],1,Y,N,N
ENSG00000185231,Tier 1,MC2R,18,13882043,13915706,-1,melanocortin 2 receptor (adrenocorticotropic hormone) [Source:HGNC Symbol;Acc:6930],0,Y,Y,N
ENSG00000185291,Tier 1,IL3RA,X,1455509,1501578,1,"interleukin 3 receptor, alpha (low affinity) [Source:HGNC Symbol;Acc:6012]",0,N,Y,N
ENSG00000185313,Tier 1,SCN10A,3,38738293,38835501,-1,"sodium channel, voltage-gated, type X, alpha subunit [Source:HGNC Symbol;Acc:10582]",13,Y,N,N
ENSG00000185386,Tier 1,MAPK11,22,50702142,50709196,-1,mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:6873],0,Y,N,N
ENSG00000185499,Tier 1,MUC1,1,155158300,155162707,-1,"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:7508]",5,N,Y,N
ENSG00000185513,Tier 1,L3MBTL1,20,42136320,42179590,1,l(3)mbt-like 1 (Drosophila) [Source:HGNC Symbol;Acc:15905],0,Y,N,N
ENSG00000185559,Tier 1,DLK1,14,101192042,101201539,1,delta-like 1 homolog (Drosophila) [Source:HGNC Symbol;Acc:2907],0,Y,Y,N
ENSG00000185664,Tier 1,PMEL,12,56347889,56367101,-1,premelanosome protein [Source:HGNC Symbol;Acc:10880],4,N,Y,N
ENSG00000185686,Tier 1,PRAME,22,22890123,22901768,-1,preferentially expressed antigen in melanoma [Source:HGNC Symbol;Acc:9336],0,N,Y,N
ENSG00000185760,Tier 1,KCNQ5,6,73331520,73908574,1,"potassium voltage-gated channel, KQT-like subfamily, member 5 [Source:HGNC Symbol;Acc:6299]",1,Y,N,N
ENSG00000185974,Tier 1,GRK1,13,114321470,114440708,1,G protein-coupled receptor kinase 1 [Source:HGNC Symbol;Acc:10013],0,Y,N,N
ENSG00000186009,Tier 1,ATP4B,13,114303119,114312501,-1,"ATPase, H+/K+ exchanging, beta polypeptide [Source:HGNC Symbol;Acc:820]",0,Y,N,N
ENSG00000186038,Tier 1,HTR3E,3,183814852,183824783,1,"5-hydroxytryptamine (serotonin) receptor 3E, ionotropic [Source:HGNC Symbol;Acc:24005]",0,Y,N,N
ENSG00000186090,Tier 1,HTR3D,3,183749332,183757157,1,"5-hydroxytryptamine (serotonin) receptor 3D, ionotropic [Source:HGNC Symbol;Acc:24004]",0,Y,N,N
ENSG00000186104,Tier 1,CYP2R1,11,14899553,14913798,-1,"cytochrome P450, family 2, subfamily R, polypeptide 1 [Source:HGNC Symbol;Acc:20580]",5,Y,N,Y
ENSG00000186115,Tier 1,CYP4F2,19,15988833,16008930,-1,"cytochrome P450, family 4, subfamily F, polypeptide 2 [Source:HGNC Symbol;Acc:2645]",5,Y,N,Y
ENSG00000186160,Tier 1,CYP4Z1,1,47533160,47583991,1,"cytochrome P450, family 4, subfamily Z, polypeptide 1 [Source:HGNC Symbol;Acc:20583]",0,Y,N,Y
ENSG00000186204,Tier 1,CYP4F12,19,15783567,15807984,1,"cytochrome P450, family 4, subfamily F, polypeptide 12 [Source:HGNC Symbol;Acc:18857]",0,Y,N,Y
ENSG00000186297,Tier 1,GABRA5,15,27111510,27194354,1,"gamma-aminobutyric acid (GABA) A receptor, alpha 5 [Source:HGNC Symbol;Acc:4079]",0,Y,N,N
ENSG00000186318,Tier 1,BACE1,11,117156402,117186975,-1,beta-site APP-cleaving enzyme 1 [Source:HGNC Symbol;Acc:933],0,Y,Y,N
ENSG00000186350,Tier 1,RXRA,9,137208944,137332431,1,"retinoid X receptor, alpha [Source:HGNC Symbol;Acc:10477]",0,Y,N,Y
ENSG00000186526,Tier 1,CYP4F8,19,15726029,15741448,1,"cytochrome P450, family 4, subfamily F, polypeptide 8 [Source:HGNC Symbol;Acc:2648]",0,N,N,Y
ENSG00000186529,Tier 1,CYP4F3,19,15751707,15773635,1,"cytochrome P450, family 4, subfamily F, polypeptide 3 [Source:HGNC Symbol;Acc:2646]",0,Y,N,Y
ENSG00000186716,Tier 1,BCR,22,23521891,23660224,1,breakpoint cluster region [Source:HGNC Symbol;Acc:1014],0,Y,N,N
ENSG00000186795,Tier 1,KCNK18,10,118957000,118969810,1,"potassium channel, subfamily K, member 18 [Source:HGNC Symbol;Acc:19439]",0,Y,N,N
ENSG00000186803,Tier 1,IFNA10,9,21206180,21207142,-1,"interferon, alpha 10 [Source:HGNC Symbol;Acc:5418]",0,N,Y,N
ENSG00000186827,Tier 1,TNFRSF4,1,1146706,1149518,-1,"tumor necrosis factor receptor superfamily, member 4 [Source:HGNC Symbol;Acc:11918]",0,N,Y,N
ENSG00000186868,Tier 1,MAPT,17,43971748,44105700,1,microtubule-associated protein tau [Source:HGNC Symbol;Acc:6893],19,Y,N,N
ENSG00000186891,Tier 1,TNFRSF18,1,1138888,1142071,-1,"tumor necrosis factor receptor superfamily, member 18 [Source:HGNC Symbol;Acc:11914]",0,N,Y,N
ENSG00000186951,Tier 1,PPARA,22,46546424,46639653,1,peroxisome proliferator-activated receptor alpha [Source:HGNC Symbol;Acc:9232],2,Y,N,Y
ENSG00000187010,Tier 1,RHD,1,25598884,25656936,1,"Rh blood group, D antigen [Source:HGNC Symbol;Acc:10009]",8,N,Y,N
ENSG00000187048,Tier 1,CYP4A11,1,47394849,47407156,-1,"cytochrome P450, family 4, subfamily A, polypeptide 11 [Source:HGNC Symbol;Acc:2642]",5,Y,N,Y
ENSG00000187134,Tier 1,AKR1C1,10,4934796,5025475,1,"aldo-keto reductase family 1, member C1 [Source:HGNC Symbol;Acc:384]",0,Y,N,N
ENSG00000187258,Tier 1,NPSR1,7,34697851,34917944,1,neuropeptide S receptor 1 [Source:HGNC Symbol;Acc:23631],0,Y,Y,N
ENSG00000187266,Tier 1,EPOR,19,11488236,11495018,-1,erythropoietin receptor [Source:HGNC Symbol;Acc:3416],0,N,Y,N
ENSG00000187486,Tier 1,KCNJ11,11,17407406,17410878,-1,"potassium inwardly-rectifying channel, subfamily J, member 11 [Source:HGNC Symbol;Acc:6257]",4,Y,Y,Y
ENSG00000187553,Tier 1,CYP26C1,10,94821021,94828454,1,"cytochrome P450, family 26, subfamily C, polypeptide 1 [Source:HGNC Symbol;Acc:20577]",0,Y,N,Y
ENSG00000187630,Tier 1,DHRS4L2,14,24439148,24475617,1,dehydrogenase/reductase (SDR family) member 4 like 2 [Source:HGNC Symbol;Acc:19731],0,N,N,Y
ENSG00000187758,Tier 1,ADH1A,4,100197524,100212185,-1,"alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:249]",5,Y,N,Y
ENSG00000187837,Tier 1,HIST1H1C,6,26055968,26056699,-1,"histone cluster 1, H1c [Source:HGNC Symbol;Acc:4716]",40,N,Y,N
ENSG00000188130,Tier 1,MAPK12,22,50683879,50700254,-1,mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:6874],0,Y,N,N
ENSG00000188229,Tier 1,TUBB4B,9,140135665,140138159,1,"tubulin, beta 4B class IVb [Source:HGNC Symbol;Acc:20771]",0,Y,Y,N
ENSG00000188257,Tier 1,PLA2G2A,1,20301925,20306932,-1,"phospholipase A2, group IIA (platelets, synovial fluid) [Source:HGNC Symbol;Acc:9031]",0,Y,Y,N
ENSG00000188379,Tier 1,IFNA2,9,21384254,21385396,-1,"interferon, alpha 2 [Source:HGNC Symbol;Acc:5423]",0,N,Y,N
ENSG00000188389,Tier 1,PDCD1,2,242792033,242801060,-1,programmed cell death 1 [Source:HGNC Symbol;Acc:8760],0,N,Y,N
ENSG00000188404,Tier 1,SELL,1,169659808,169680839,-1,selectin L [Source:HGNC Symbol;Acc:10720],1,Y,Y,N
ENSG00000188641,Tier 1,DPYD,1,97543299,98386605,-1,dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:3012],5,Y,N,Y
ENSG00000188778,Tier 1,ADRB3,8,37820516,37824483,-1,adrenoceptor beta 3 [Source:HGNC Symbol;Acc:288],0,Y,Y,N
ENSG00000188784,Tier 1,PLA2G2E,1,20246502,20250110,-1,"phospholipase A2, group IIE [Source:HGNC Symbol;Acc:13414]",0,Y,Y,N
ENSG00000188822,Tier 1,CNR2,1,24197016,24285549,-1,cannabinoid receptor 2 (macrophage) [Source:HGNC Symbol;Acc:2160],0,Y,Y,N
ENSG00000188906,Tier 1,LRRK2,12,40590546,40763087,1,leucine-rich repeat kinase 2 [Source:HGNC Symbol;Acc:18618],8,Y,N,N
ENSG00000189013,Tier 1,KIR2DL4,19,55236002,55325972,1,"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4 [Source:HGNC Symbol;Acc:6332]",0,N,Y,N
ENSG00000189060,Tier 1,H1F0,22,38201114,38203442,1,"H1 histone family, member 0 [Source:HGNC Symbol;Acc:4714]",1,N,Y,N
ENSG00000189091,Tier 1,SF3B3,16,70557691,70608820,1,"splicing factor 3b, subunit 3, 130kDa [Source:HGNC Symbol;Acc:10770]",0,Y,N,N
ENSG00000189221,Tier 1,MAOA,X,43515467,43606068,1,monoamine oxidase A [Source:HGNC Symbol;Acc:6833],0,Y,N,Y
ENSG00000196126,Tier 1,HLA-DRB1,6,32546546,32557625,-1,"major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:4948]",127,N,Y,N
ENSG00000196132,Tier 1,MYT1,20,62783144,62873604,1,myelin transcription factor 1 [Source:HGNC Symbol;Acc:7622],0,Y,N,N
ENSG00000196139,Tier 1,AKR1C3,10,5077546,5149878,1,"aldo-keto reductase family 1, member C3 [Source:HGNC Symbol;Acc:386]",4,Y,N,N
