protein_ref,symbol,annotation,number_of_ubiquitination_sites,4x_Btz_rep1-4 Sp. Counts,Btz_Epox Sp. Counts,Usp2cc Sp. Counts,Btz_timepoints Sp. Counts,Btz_CHX Sp. Counts,SILAC_Chase_GG Sp. Counts,MLN_timepoints Sp. Counts,Btz_MLN_1st Sp. Counts,Btz_MLN_2nd Sp. Counts,CST_GG_PullDowns Sp. Counts
IPI:IPI00015505.7,HPS6,Hermansky-Pudlak syndrome 6 protein,7,101,70,12,36,49,23,0,67,63,2
IPI:IPI00015526.4,EHMT1,euchromatic histone-lysine N-methyltransferase 1 isoform 1,3,12,10,1,6,9,10,0,7,0,0
IPI:IPI00015560.7,ELP2,Isoform 1 of Elongator complex protein 2,4,37,42,4,8,27,7,3,33,12,0
IPI:IPI00015580.3,FNBP1L,Isoform 3 of Formin-binding protein 1-like,2,9,10,2,0,11,0,0,8,0,0
IPI:IPI00015602.1,TOMM70A,Mitochondrial import receptor subunit TOM70,4,3,1,0,0,2,9,5,3,0,0
IPI:IPI00015608.2,ZDHHC7,Isoform 1 of Palmitoyltransferase ZDHHC7,1,3,0,1,2,0,0,0,0,0,0
IPI:IPI00015609.1,C4orf30,Uncharacterized protein C4orf30,2,10,4,0,0,8,0,0,3,0,0
IPI:IPI00015614.4,PRSS3,Isoform A of Trypsin-3,2,12,3,3,9,7,0,0,5,0,0
IPI:IPI00015624.2,RNF122,RING finger protein 122,1,0,0,0,0,0,0,0,0,0,1
IPI:IPI00015671.3,TUBAL3,Isoform 1 of Tubulin alpha chain-like 3,2,97,34,7,73,104,22,306,98,27,231
IPI:IPI00015681.1,PNRC2,Isoform 1 of Proline-rich nuclear receptor coactivator 2,1,0,0,0,0,5,0,0,0,0,0
IPI:IPI00015691.5,ACVR2A,Activin receptor type-2A,1,0,0,0,0,0,2,0,0,0,0
IPI:IPI00015713.4,CDKAL1,Isoform 1 of CDK5 regulatory subunit-associated protein 1-like 1,2,15,15,0,4,14,6,0,2,16,0
IPI:IPI00015720.2,MKS1,Isoform 1 of Meckel syndrome type 1 protein,5,16,6,0,1,6,0,0,9,0,0
IPI:IPI00015736.3,UBA5,Ubiquitin-like modifier-activating enzyme 5,1,0,0,0,2,0,0,0,0,0,0
IPI:IPI00015758.7,C10orf26,Outcome predictor in acute leukemia 1,1,3,1,0,0,12,8,7,4,0,0
IPI:IPI00015773.3,COMMD3,COMM domain-containing protein 3,2,0,0,0,0,0,0,0,0,0,5
IPI:IPI00015782.1,C16orf35,UPF0171 protein C16orf35,2,3,8,0,0,5,4,0,2,0,0
IPI:IPI00015793.7,SMG6,Isoform 1 of Telomerase-binding protein EST1A,1,0,0,0,0,1,1,0,0,0,0
IPI:IPI00015804.1,DUS2L,tRNA-dihydrouridine synthase 2-like,2,16,12,4,15,8,3,0,10,9,0
IPI:IPI00015806.3,GTF3C3,Isoform 1 of General transcription factor 3C polypeptide 3,7,112,56,8,23,49,15,2,64,22,0
IPI:IPI00015808.3,GNL2,Nucleolar GTP-binding protein 2,1,0,0,0,0,2,1,0,0,0,0
IPI:IPI00015819.1,TNFAIP1,BTB/POZ domain-containing protein TNFAIP1,2,17,20,0,18,18,7,11,13,2,0
IPI:IPI00015833.1,CHCHD3,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial",5,1,0,0,0,0,0,0,0,0,20
IPI:IPI00015836.1,APPL1,DCC-interacting protein 13-alpha,3,2,2,0,0,2,2,0,2,0,0
IPI:IPI00015856.5,DNPEP,"cDNA FLJ56420, highly similar to Aspartyl aminopeptidase",1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00015878.1,CHIC2,Cysteine-rich hydrophobic domain 2 protein,1,99,81,11,131,125,32,131,111,42,0
IPI:IPI00015891.1,PFDN4,Prefoldin subunit 4,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00015892.1,CCRK,Cyclin-dependent protein kinase H,3,4,4,0,0,2,0,0,2,0,0
IPI:IPI00015894.1,CDC42EP4,Cdc42 effector protein 4,4,2,6,0,0,5,5,14,11,0,0
IPI:IPI00015897.2,CHORDC1,Isoform 1 of Cysteine and histidine-rich domain-containing protein 1,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00015905.1,EXOSC2,Exosome complex exonuclease RRP4,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00015911.1,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial",3,9,11,2,0,10,3,0,8,0,0
IPI:IPI00015916.1,QSOX1,Bone-derived growth factor (Fragment),1,0,1,0,0,0,0,0,0,0,0
IPI:IPI00015921.3,HOXC6;HOXC4,Isoform 1 of Homeobox protein Hox-C6,1,0,0,0,0,0,0,0,0,1,0
IPI:IPI00015922.2,INTS6,Isoform 1 of Integrator complex subunit 6,1,0,0,0,0,4,0,0,0,0,0
IPI:IPI00015923.2,CCNDBP1,Isoform 1 of Cyclin-D1-binding protein 1,1,6,0,0,0,0,0,0,0,0,0
IPI:IPI00015924.1,TFIP11,Isoform 1 of Tuftelin-interacting protein 11,2,2,1,0,0,0,0,0,0,0,0
IPI:IPI00015932.1,KLF9,Krueppel-like factor 9,1,1,0,0,2,0,0,0,0,0,0
IPI:IPI00015934.1,KLF5,Krueppel-like factor 5,1,0,0,0,0,3,7,0,0,1,0
IPI:IPI00015944.4,EML2,"cDNA FLJ56452, highly similar to Echinoderm microtubule-associated protein-like 2",3,47,32,7,14,26,3,0,34,21,0
IPI:IPI00015945.1,BTF3L2,Transcription factor BTF3 homolog 2,1,0,0,0,3,0,0,2,1,0,0
IPI:IPI00015947.5,DNAJB1,DnaJ homolog subfamily B member 1,2,1,0,0,1,0,0,0,0,0,2
IPI:IPI00015952.2,EIF4G2,"cDNA FLJ59571, highly similar to Eukaryotic translation initiation factor 4gamma 2",3,2,1,0,0,2,0,0,5,0,0
IPI:IPI00015954.1,SAR1A,GTP-binding protein SAR1a,1,5,0,0,0,2,4,0,0,0,0
IPI:IPI00015956.3,EXOSC3,Exosome complex exonuclease RRP40,1,0,0,0,0,6,0,0,3,0,0
IPI:IPI00015972.1,COX6C,Cytochrome c oxidase subunit 6C,1,0,0,0,0,0,0,0,0,0,4
IPI:IPI00015973.1,EPB41L2,Band 4.1-like protein 2,20,55,49,2,88,96,38,171,60,18,0
IPI:IPI00016007.1,MYO5C,Myosin-Vc,1,0,0,0,0,6,0,0,0,0,0
IPI:IPI00016014.1,ITM2C,Isoform 1 of Integral membrane protein 2C,4,145,111,7,98,70,31,91,96,39,0
IPI:IPI00016070.3,AGPAT6,Glycerol-3-phosphate acyltransferase 4,3,2,0,0,0,0,2,0,0,0,0
IPI:IPI00016074.1,MPHOSPH6,M-phase phosphoprotein 6,3,11,4,0,2,11,4,0,3,3,0
IPI:IPI00016099.2,MAP3K14,Mitogen-activated protein kinase kinase kinase 14,5,21,30,3,0,16,7,0,19,0,3
IPI:IPI00016152.7,TSC22D3,Isoform 1 of TSC22 domain family protein 3,2,0,0,0,0,0,0,0,0,2,1
IPI:IPI00016179.1,S100A13,Protein S100-A13,1,57,51,1,67,58,12,87,48,22,0
IPI:IPI00016207.1,TIMM17A,Mitochondrial import inner membrane translocase subunit Tim17-A,2,21,13,0,8,12,1,0,10,3,0
IPI:IPI00016249.4,FXR1,Isoform 1 of Fragile X mental retardation syndrome-related protein 1,6,1,1,0,0,15,0,5,1,0,4
IPI:IPI00016250.6,FXR2,Fragile X mental retardation syndrome-related protein 2,1,0,0,0,0,0,0,0,0,0,3
IPI:IPI00016284.1,GGNBP2,Isoform 1 of Gametogenetin-binding protein 2,2,24,18,0,5,9,2,0,15,7,0
IPI:IPI00016319.4,MORN1,Isoform 2 of MORN repeat-containing protein 1,1,0,0,0,0,3,0,0,0,0,0
IPI:IPI00016334.2,MCAM,Isoform 1 of Cell surface glycoprotein MUC18,3,0,0,0,3,0,1,9,6,0,0
IPI:IPI00016339.4,RAB5C,Ras-related protein Rab-5C,2,23,8,2,3,9,1,6,13,0,0
IPI:IPI00016342.1,RAB7A,Ras-related protein Rab-7a,5,80,47,5,77,109,34,98,105,22,0
IPI:IPI00016345.3,SETD6,Isoform 2 of SET domain-containing protein 6,2,0,3,0,0,1,1,0,3,1,0
IPI:IPI00016373.3,RAB13,Ras-related protein Rab-13,2,6,8,0,0,4,3,20,7,0,0
IPI:IPI00016405.1,OCIAD1,Isoform 1 of OCIA domain-containing protein 1,1,5,2,0,3,2,0,3,4,3,0
IPI:IPI00016408.3,C9orf6,UPF0436 protein C9orf6,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00016409.2,DNAJC28,DnaJ homolog subfamily C member 28,1,0,0,0,0,0,0,0,1,0,0
IPI:IPI00016418.3,LPCAT2,Isoform 1 of Lysophosphatidylcholine acyltransferase 2,2,7,10,1,0,13,4,0,8,7,0
IPI:IPI00016443.1,C11orf79,"Protein EMI5 homolog, mitochondrial",1,4,4,0,1,3,3,0,3,0,0
IPI:IPI00016448.3,TRNAU1AP,Isoform 1 of tRNA selenocysteine 1-associated protein 1,2,2,0,0,0,1,2,0,2,0,0
IPI:IPI00016461.5,PLCD1,"phospholipase C, delta 1 isoform 1",2,0,1,0,0,1,2,8,4,0,0
IPI:IPI00016478.6,C1orf109,"cDNA, FLJ78992",2,10,9,3,0,8,0,0,8,0,0
IPI:IPI00016480.3,NLRP2,"Isoform 1 of NACHT, LRR and PYD domains-containing protein 2",4,5,3,0,2,4,0,0,3,0,10
IPI:IPI00016485.3,SSH3,Isoform 4 of Protein phosphatase Slingshot homolog 3,1,1,0,0,0,2,2,0,0,0,0
IPI:IPI00016494.2,NOL10,Isoform 2 of Nucleolar protein 10,2,2,0,3,0,0,0,0,2,0,0
IPI:IPI00016510.2,RPUSD1,RNA pseudouridylate synthase domain-containing protein 1,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00016513.5,RAB10,Ras-related protein Rab-10,3,0,0,0,1,0,5,2,1,0,0
IPI:IPI00016539.3,SCD5,Isoform 2 of Stearoyl-CoA desaturase 5,1,2,2,0,0,2,0,0,2,0,0
IPI:IPI00016542.5,WDR76,WD repeat-containing protein 76,2,8,0,0,0,5,0,0,6,0,0
IPI:IPI00016559.6,THG1L,Probable tRNA(His) guanylyltransferase,1,2,0,0,0,0,2,0,0,0,0
IPI:IPI00016572.1,SNRPG,Small nuclear ribonucleoprotein G,1,0,0,0,0,0,0,15,4,0,0
IPI:IPI00016580.6,DSN1,Isoform 1 of Kinetochore-associated protein DSN1 homolog,4,19,10,1,0,14,5,0,10,2,0
IPI:IPI00016589.5,USP19,Isoform 1 of Ubiquitin carboxyl-terminal hydrolase 19,3,4,1,1,1,6,3,15,8,5,0
IPI:IPI00016604.1,PDE4B,"Isoform PDE4B1 of cAMP-specific 3',5'-cyclic phosphodiesterase 4B",1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00016605.3,C1orf123,UPF0587 protein C1orf123,1,0,0,0,0,0,1,2,2,0,0
IPI:IPI00016610.2,PCBP1,Poly(rC)-binding protein 1,6,33,16,0,8,16,3,27,24,0,63
IPI:IPI00016613.2,CSNK2A1,CSNK2A1 protein,7,38,45,3,29,43,12,0,25,24,0
IPI:IPI00016619.2,TRIM37,Isoform 1 of Tripartite motif-containing protein 37,2,14,4,0,2,8,0,0,3,0,0
IPI:IPI00016620.5,PSTPIP2,Isoform 1 of Proline-serine-threonine phosphatase-interacting protein 2,1,8,6,0,3,3,1,0,3,0,0
IPI:IPI00016621.7,AP2A2,Isoform 2 of AP-2 complex subunit alpha-2,5,13,13,0,4,8,1,0,6,2,0
IPI:IPI00016634.1,C20orf11,Protein C20orf11,3,1,1,0,0,0,0,0,0,0,2
IPI:IPI00016635.1,ZFP36L1,Butyrate response factor 1,2,5,0,0,0,0,0,0,0,4,0
IPI:IPI00016639.7,PRKCI,Protein kinase C iota type,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00016665.4,TMCO3,Isoform 1 of Transmembrane and coiled-coil domain-containing protein 3,5,61,44,8,28,35,3,0,34,39,0
IPI:IPI00016669.1,RHEB,GTP-binding protein Rheb,3,43,36,5,5,49,12,0,30,18,0
IPI:IPI00016670.3,C11orf59,UPF0404 protein C11orf59,3,13,9,0,1,23,5,54,23,1,0
IPI:IPI00016676.1,TOMM20,Mitochondrial import receptor subunit TOM20 homolog,2,18,24,1,8,30,13,22,27,0,0
IPI:IPI00016697.3,C12orf48,Isoform 2 of UPF0419 protein C12orf48,5,25,25,0,4,17,8,0,5,3,0
IPI:IPI00016703.2,DHCR24,24-dehydrocholesterol reductase,4,10,5,0,0,4,2,0,4,0,0
IPI:IPI00016708.2,AMD1,S-adenosylmethionine decarboxylase proenzyme,1,0,0,0,0,2,2,0,0,3,0
IPI:IPI00016725.2,GTF3C4,General transcription factor 3C polypeptide 4,5,23,23,2,0,22,32,12,22,3,0
IPI:IPI00016726.3,C14orf119,Uncharacterized protein C14orf119,2,8,6,5,1,5,1,0,3,4,0
IPI:IPI00016729.1,DUSP2,Dual specificity protein phosphatase 2,1,13,16,2,4,10,3,0,10,0,0
IPI:IPI00016736.1,PLCG1,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-1",3,0,0,0,0,2,5,2,2,0,0
IPI:IPI00016745.1,FPGS,"Isoform Mitochondrial of Folylpolyglutamate synthase, mitochondrial",3,20,18,1,4,13,4,0,14,0,0
IPI:IPI00016786.1,CDC42,Isoform 2 of Cell division control protein 42 homolog,6,75,102,0,42,60,68,73,60,10,0
IPI:IPI00016801.1,GLUD1,"Glutamate dehydrogenase 1, mitochondrial",11,36,34,5,9,14,2,0,12,0,0
IPI:IPI00016802.1,SIRT1,NAD-dependent deacetylase sirtuin-1,3,3,2,0,6,11,16,20,6,0,0
IPI:IPI00016832.1,PSMA1,Isoform Short of Proteasome subunit alpha type-1,7,139,108,11,39,130,59,83,118,29,2
IPI:IPI00016839.1,GTF2H4,General transcription factor IIH subunit 4,4,15,10,2,2,10,3,1,15,6,0
IPI:IPI00016862.1,GSR,"Isoform Mitochondrial of Glutathione reductase, mitochondrial",6,28,14,2,5,27,6,0,23,3,0
IPI:IPI00016868.3,TELO2,Telomere length regulation protein TEL2 homolog,3,45,40,3,12,36,5,0,27,12,0
IPI:IPI00016910.1,EIF3CL;EIF3C,Eukaryotic translation initiation factor 3 subunit C,9,35,17,0,12,20,30,4,22,16,16
IPI:IPI00016912.1,TTC1,Tetratricopeptide repeat protein 1,2,7,5,0,4,2,0,0,2,4,0
IPI:IPI00016932.3,INPPL1,"Isoform 1 of Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2",1,0,0,0,0,0,0,0,1,0,0
IPI:IPI00016956.1,AGPAT4,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,2,12,1,1,13,0,0,0,0,2,0
IPI:IPI00016968.1,SDHC,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",2,3,0,0,0,0,0,0,0,0,0
IPI:IPI00016979.2,CLUAP1,45 kDa protein,4,9,3,0,3,8,0,0,5,1,0
IPI:IPI00016988.2,WDR13,WD repeat-containing protein 13,1,2,0,0,0,0,1,0,0,0,0
IPI:IPI00017184.2,EHD1,EH domain-containing protein 1,2,2,1,0,0,3,0,0,1,0,0
IPI:IPI00017203.5,RMI1,RecQ-mediated genome instability protein 1,1,20,23,1,4,12,0,0,11,13,0
IPI:IPI00017227.3,UBTD1,Ubiquitin domain-containing protein 1,2,0,0,0,0,1,2,3,0,0,0
IPI:IPI00017232.4,SLC24A6,Isoform 1 of Sodium/potassium/calcium exchanger 6,1,0,2,0,0,0,2,0,1,0,0
IPI:IPI00017256.6,RSU1,Ras suppressor protein 1,4,15,15,1,0,12,2,0,8,9,0
IPI:IPI00017262.1,CA5A,"Carbonic anhydrase 5A, mitochondrial",1,0,2,0,0,1,0,0,0,0,0
IPI:IPI00017283.2,IARS2,"Isoleucyl-tRNA synthetase, mitochondrial",1,0,2,0,0,0,0,0,0,0,0
IPI:IPI00017292.1,CTNNB1,Isoform 1 of Catenin beta-1,10,144,122,3,76,90,36,20,62,135,83
IPI:IPI00017297.1,MATR3,Matrin-3,12,5,2,0,15,8,4,9,0,0,55
IPI:IPI00017303.1,MSH2,DNA mismatch repair protein Msh2,6,34,35,1,54,55,9,79,46,4,2
IPI:IPI00017305.2,RPS6KA1,Ribosomal protein S6 kinase alpha-1,1,0,4,0,0,0,0,0,0,0,0
IPI:IPI00017330.2,GRK6,Isoform GRK6A of G protein-coupled receptor kinase 6,3,1,0,0,1,0,1,0,0,0,0
IPI:IPI00017334.1,PHB,Prohibitin,6,23,14,6,8,14,6,0,18,11,3
IPI:IPI00017336.1,CUEDC1,Isoform 1 of CUE domain-containing protein 1,2,42,22,0,82,38,8,57,23,28,0
IPI:IPI00017341.3,SF3A2,SF3A2 protein (Fragment),1,0,0,0,0,1,0,1,0,0,0
IPI:IPI00017342.1,RHOG,Rho-related GTP-binding protein RhoG,2,0,0,0,0,0,0,4,1,0,0
IPI:IPI00017367.6,RDX,"Radixin, isoform CRA_a",15,79,65,4,91,84,38,131,70,6,4
IPI:IPI00017373.1,RPA3,Replication protein A 14 kDa subunit,1,10,17,0,0,5,1,0,5,3,0
IPI:IPI00017375.2,SEC23A,Protein transport protein Sec23A,4,23,12,4,8,7,3,4,9,2,0
IPI:IPI00017376.2,SEC23B,Protein transport protein Sec23B,7,40,29,2,23,28,13,6,30,10,0
IPI:IPI00017380.3,GNL3LP,Putative GTP-binding protein FLJ12595,1,2,1,0,1,0,0,0,0,0,0
IPI:IPI00017381.1,RFC4,Replication factor C subunit 4,4,1,2,0,0,1,0,0,4,0,0
IPI:IPI00017389.3,C2orf37,Isoform 1 of Protein C2orf37,1,6,2,0,0,4,1,0,2,2,0
IPI:IPI00017412.1,RFC2,Isoform 1 of Replication factor C subunit 2,5,6,5,0,0,7,0,0,3,0,0
IPI:IPI00017448.1,RPS21,40S ribosomal protein S21,3,18,1,0,7,7,1,2,5,0,6
IPI:IPI00017450.2,GTF2F1,General transcription factor IIF subunit 1,2,0,0,0,1,2,2,1,0,0,0
IPI:IPI00017451.1,SF3A1,Splicing factor 3 subunit 1,6,16,8,0,19,36,7,32,23,0,0
IPI:IPI00017494.1,PDPR,"cDNA FLJ10079 fis, clone HEMBA1001896, weakly similar to DIMETHYLGLYCINE DEHYDROGENASE",1,1,0,0,1,0,0,0,0,0,0
IPI:IPI00017515.6,MREG,Isoform 1 of Melanoregulin,1,0,0,0,0,0,0,13,0,0,0
IPI:IPI00017537.2,IFT57,Intraflagellar transport protein 57 homolog,2,7,4,0,0,4,0,0,4,0,0
IPI:IPI00017538.3,ESPL1,Isoform 2 of Separin,3,9,1,0,3,0,0,0,0,0,0
IPI:IPI00017596.3,MAPRE1,Microtubule-associated protein RP/EB family member 1,2,3,0,0,3,0,3,1,0,0,0
IPI:IPI00017608.1,DNAJB9,DnaJ homolog subfamily B member 9,2,2,1,0,0,3,2,0,2,0,0
IPI:IPI00017617.1,DDX5,Probable ATP-dependent RNA helicase DDX5,15,129,114,13,45,81,41,16,93,40,32
IPI:IPI00017669.5,SMARCE1,Isoform 1 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,4,22,22,0,11,29,5,13,13,2,0
IPI:IPI00017670.2,SMPD2,Sphingomyelin phosphodiesterase 2,1,2,3,0,0,0,0,0,0,0,0
IPI:IPI00017672.4,NP,"cDNA FLJ25678 fis, clone TST04067, highly similar to PURINE NUCLEOSIDE PHOSPHORYLASE",2,35,23,1,7,14,3,0,20,8,0
IPI:IPI00017695.2,WASH1,Protein FAM39A,1,15,6,0,4,4,2,0,5,4,0
IPI:IPI00017726.1,HSD17B10,Isoform 1 of 3-hydroxyacyl-CoA dehydrogenase type-2,2,4,4,0,0,2,2,0,2,0,0
IPI:IPI00017733.2,CNOT2,Isoform 5 of CCR4-NOT transcription complex subunit 2,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00017763.6,NAP1L4,"cDNA FLJ59403, highly similar to Nucleosome assembly protein 1-like 4",3,33,14,1,10,13,5,15,17,2,1
IPI:IPI00017842.1,TP53I11,Putative uncharacterized protein (Fragment),2,0,0,0,0,8,1,14,5,0,0
IPI:IPI00017870.1,-,Keratin-8-like protein 1,7,256,154,31,216,151,63,100,145,46,6
IPI:IPI00017895.3,GPD2,"Isoform 1 of Glycerol-3-phosphate dehydrogenase, mitochondrial",1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00017910.8,ARHGAP8,82 kDa protein,3,10,18,0,0,15,0,0,13,5,0
IPI:IPI00017963.1,SNRPD2,Small nuclear ribonucleoprotein Sm D2,1,3,1,0,2,3,0,0,0,0,0
IPI:IPI00017964.1,SNRPD3,Small nuclear ribonucleoprotein Sm D3,1,0,0,0,3,0,0,3,0,0,0
IPI:IPI00017979.2,FAM54A,Isoform 1 of Protein FAM54A,3,24,13,2,6,12,2,0,15,2,0
IPI:IPI00018017.1,BRMS1,Breast cancer metastasis-suppressor 1,3,8,8,0,0,5,0,0,5,1,0
IPI:IPI00018031.1,ALDH3B1,Isoform 1 of Aldehyde dehydrogenase family 3 member B1,5,27,33,5,5,11,2,0,11,8,0
IPI:IPI00018038.3,MAGEA2B;MAGEA2;MAGEA6,Melanoma-associated antigen 2,2,64,82,11,25,68,9,32,69,35,0
IPI:IPI00018041.1,MAGEA3,Melanoma-associated antigen 3,2,12,3,0,2,17,0,32,17,4,1
IPI:IPI00018042.1,MAGEA4,Melanoma-associated antigen 4,2,1,2,1,0,6,3,0,1,4,6
IPI:IPI00018068.1,MAGEA2B;MAGEA2;MAGEA6,Melanoma-associated antigen 6,2,0,0,0,0,0,0,0,0,0,4
IPI:IPI00018074.1,MAGEA9B;MAGEA9,Melanoma-associated antigen 9,1,1,2,1,0,6,3,0,1,4,1
IPI:IPI00018079.1,SSTR5,Somatostatin receptor type 5,1,0,0,0,0,0,0,5,0,0,0
IPI:IPI00018080.5,MAGEB1,Melanoma-associated antigen B1,1,3,0,0,2,0,1,11,4,0,3
IPI:IPI00018087.5,C17orf68,Isoform 1 of Uncharacterized protein C17orf68,7,35,30,2,2,19,0,0,19,7,0
IPI:IPI00018099.4,FANCL,E3 ubiquitin-protein ligase FANCL,2,2,0,0,0,0,0,0,0,0,0
IPI:IPI00018108.1,TAF13,Transcription initiation factor TFIID subunit 13,1,5,0,0,0,0,0,0,0,0,0
IPI:IPI00018117.3,DAP,Death-associated protein 1,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00018120.1,DAP3,"28S ribosomal protein S29, mitochondrial",1,1,1,0,1,0,0,0,0,0,0
IPI:IPI00018122.2,C16orf59,Isoform 2 of Uncharacterized protein C16orf59,1,17,14,0,2,14,6,0,7,1,0
IPI:IPI00018134.4,FLJ10357,Isoform 4 of Protein SOLO,2,0,0,0,0,2,2,1,1,0,0
IPI:IPI00018140.3,SYNCRIP,Isoform 1 of Heterogeneous nuclear ribonucleoprotein Q,9,42,13,0,56,32,23,15,22,10,32
IPI:IPI00018146.1,YWHAQ,14-3-3 protein theta,12,97,59,7,101,101,30,111,67,7,39
IPI:IPI00018174.4,TEAD2,Transcriptional enhancer factor TEF-4,2,0,0,0,0,0,0,2,0,0,0
IPI:IPI00018192.2,WDR74,Isoform 1 of WD repeat-containing protein 74,6,30,25,2,11,24,9,0,27,19,3
IPI:IPI00018195.3,MAPK3,Mitogen-activated protein kinase 3,2,1,0,0,0,3,0,0,2,1,0
IPI:IPI00018196.5,NLE1,Notchless protein homolog 1,2,37,29,7,35,18,26,0,32,34,0
IPI:IPI00018198.3,HAUS2,Isoform 1 of Centrosomal protein of 27 kDa,3,28,19,2,8,24,2,0,31,6,0
IPI:IPI00018206.3,GOT2,"Aspartate aminotransferase, mitochondrial",2,10,14,0,0,8,2,0,9,0,0
IPI:IPI00018208.2,TTC33,Tetratricopeptide repeat protein 33,2,0,0,0,0,2,0,0,0,0,0
IPI:IPI00018237.3,TMEM38B,Trimeric intracellular cation channel type B,2,4,2,0,0,3,0,0,5,0,0
IPI:IPI00018246.5,HK1,Isoform 1 of Hexokinase-1,2,3,0,0,0,2,2,4,2,0,0
IPI:IPI00018266.2,ELK3,ETS domain-containing protein Elk-3,1,0,1,0,0,0,0,0,0,0,0
IPI:IPI00018274.1,EGFR,Isoform 1 of Epidermal growth factor receptor,2,0,0,0,0,6,3,17,5,0,0
IPI:IPI00018278.3,H2AFV,Histone H2A.V,4,14,32,2,20,33,4,16,16,2,8
IPI:IPI00018281.1,RAD54B,DNA repair and recombination protein RAD54B,2,1,2,0,0,1,0,0,1,0,0
IPI:IPI00018288.1,POLR2C,DNA-directed RNA polymerase II subunit RPB3,6,72,61,12,26,68,22,11,59,59,25
IPI:IPI00018294.3,RLF,Zinc finger protein Rlf,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00018311.1,NPTN,Isoform 2 of Neuroplastin,2,20,25,0,7,32,7,32,25,3,0
IPI:IPI00018330.1,NFKBIA,NF-kappa-B inhibitor alpha,1,0,0,0,0,0,0,0,0,0,5
IPI:IPI00018345.6,CASP2,19 kDa protein,2,3,3,0,2,11,0,0,3,0,0
IPI:IPI00018349.5,MCM4,DNA replication licensing factor MCM4,15,53,78,2,40,91,28,44,55,17,1
IPI:IPI00018350.3,MCM5,DNA replication licensing factor MCM5,4,55,60,2,37,74,22,55,45,13,1
IPI:IPI00018352.1,UCHL1,Ubiquitin carboxyl-terminal hydrolase isozyme L1,4,0,0,0,0,0,0,0,0,0,64
IPI:IPI00018364.2,RAP2B,Ras-related protein Rap-2b,1,8,19,0,2,8,3,0,5,2,0
IPI:IPI00018398.4,PSMC3,26S protease regulatory subunit 6A,20,398,329,61,297,414,167,356,311,241,40
IPI:IPI00018451.6,CIB1,Calcium and integrin-binding protein 1,3,16,20,3,10,23,4,7,9,22,0
IPI:IPI00018452.3,CPNE1,Copine-1,8,76,43,16,9,89,12,40,118,33,7
IPI:IPI00018465.1,CCT7,T-complex protein 1 subunit eta,16,50,44,6,7,64,13,45,48,12,31
IPI:IPI00018511.1,TUBB4Q,Putative tubulin beta-4q chain,3,1,0,5,1,7,0,65,13,0,31
IPI:IPI00018522.4,PRMT1,HMT1 hnRNP methyltransferase-like 2 isoform 1,8,89,66,26,67,70,39,42,75,43,1
IPI:IPI00018534.4,HIST1H2BL,Histone H2B type 1-L,5,156,140,10,139,134,54,116,130,13,428
IPI:IPI00018627.3,NAT13,Isoform 1 of N-acetyltransferase 13,5,50,32,0,48,37,22,82,38,0,0
IPI:IPI00018671.1,DUSP3,Dual specificity protein phosphatase 3,1,3,0,0,0,4,1,0,0,0,0
IPI:IPI00018726.3,KLHL11,Kelch-like protein 11,9,45,13,0,11,28,11,1,12,0,0
IPI:IPI00018744.1,TRADD,Tumor necrosis factor receptor type 1-associated DEATH domain protein,1,0,0,0,0,0,0,0,0,0,9
IPI:IPI00018755.1,HMGB1L10,High mobility group protein 1-like 10,7,24,22,0,20,26,5,42,15,2,0
IPI:IPI00018768.1,TSN,Translin,1,0,0,0,7,1,0,1,0,0,0
IPI:IPI00018780.1,CDK5RAP3,Isoform 2 of CDK5 regulatory subunit-associated protein 3,3,0,0,2,0,1,1,5,0,0,58
IPI:IPI00018783.1,ITPA,Inosine triphosphate pyrophosphatase,1,0,0,0,1,0,0,0,0,0,0
IPI:IPI00018804.3,TRIP10,Isoform 2 of Cdc42-interacting protein 4,4,20,10,1,2,13,2,0,11,0,0
IPI:IPI00018813.5,COPS2,Isoform 2 of COP9 signalosome complex subunit 2,3,78,59,1,113,104,26,85,52,16,5
IPI:IPI00018836.3,FAM86C,Isoform 1 of Protein FAM86C,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00018840.6,TRIP4,Activating signal cointegrator 1,4,18,10,1,2,16,5,0,16,7,0
